"customer_id","data_segment","avg_gb"
"1503","Heavy Data User","20.5"
"86","Heavy Data User","20.1"
"1179","Medium User","19.9"
"1071","Medium User","19.5"
"645","Medium User","18.7"
"754","Medium User","18.4"
"755","Medium User","18.2"
"241","Medium User","18.1"
"24","Medium User","18.0"
"886","Medium User","17.9"
"407","Medium User","17.9"
"1467","Medium User","17.6"
"547","Medium User","17.5"
"124","Medium User","17.5"
"137","Medium User","17.4"
"581","Medium User","17.3"
"1674","Medium User","17.2"
"1326","Medium User","17.0"
"1332","Medium User","17.0"
"1861","Medium User","16.8"
"1477","Medium User","16.8"
"1273","Medium User","16.8"
"1499","Medium User","16.7"
"1042","Medium User","16.5"
"249","Medium User","16.4"
"1420","Medium User","16.3"
"774","Medium User","16.3"
"1316","Medium User","16.3"
"196","Medium User","16.2"
"1980","Medium User","16.2"
"605","Medium User","16.1"
"1465","Medium User","16.0"
"737","Medium User","16.0"
"1299","Medium User","16.0"
"730","Medium User","16.0"
"1722","Medium User","16.0"
"1628","Medium User","15.9"
"640","Medium User","15.9"
"933","Medium User","15.9"
"1491","Medium User","15.9"
"299","Medium User","15.8"
"17","Medium User","15.8"
"409","Medium User","15.8"
"857","Medium User","15.7"
"1612","Medium User","15.6"
"70","Medium User","15.6"
"1309","Medium User","15.6"
"39","Medium User","15.6"
"157","Medium User","15.6"
"681","Medium User","15.6"
"182","Medium User","15.5"
"95","Medium User","15.5"
"1213","Medium User","15.5"
"1548","Medium User","15.5"
"484","Medium User","15.5"
"1791","Medium User","15.5"
"1565","Medium User","15.5"
"350","Medium User","15.5"
"1320","Medium User","15.4"
"516","Medium User","15.4"
"748","Medium User","15.4"
"61","Medium User","15.4"
"1442","Medium User","15.4"
"622","Medium User","15.4"
"1036","Medium User","15.4"
"271","Medium User","15.3"
"1532","Medium User","15.3"
"1077","Medium User","15.3"
"1234","Medium User","15.3"
"206","Medium User","15.3"
"1800","Medium User","15.3"
"520","Medium User","15.2"
"584","Medium User","15.2"
"1310","Medium User","15.1"
"226","Medium User","15.1"
"803","Medium User","15.1"
"1498","Medium User","15.1"
"1447","Medium User","15.1"
"943","Medium User","15.1"
"759","Medium User","15.1"
"1177","Medium User","15.0"
"1831","Medium User","15.0"
"975","Medium User","15.0"
"1585","Medium User","15.0"
"940","Medium User","15.0"
"82","Medium User","15.0"
"1864","Medium User","14.9"
"1134","Medium User","14.9"
"1835","Medium User","14.9"
"1453","Medium User","14.9"
"504","Medium User","14.9"
"1165","Medium User","14.9"
"1052","Medium User","14.9"
"1352","Medium User","14.9"
"90","Medium User","14.8"
"829","Medium User","14.8"
"67","Medium User","14.8"
"430","Medium User","14.8"
"1432","Medium User","14.7"
"969","Medium User","14.7"
"496","Medium User","14.7"
"313","Medium User","14.7"
"1822","Medium User","14.7"
"1469","Medium User","14.6"
"680","Medium User","14.6"
"729","Medium User","14.6"
"661","Medium User","14.6"
"674","Medium User","14.6"
"1354","Medium User","14.6"
"1654","Medium User","14.5"
"219","Medium User","14.5"
"1346","Medium User","14.5"
"897","Medium User","14.5"
"540","Medium User","14.5"
