"customer_id","plan_id","plan_name","avg_data_usage","data_quota"
"86","2","Standard","20.05",15
"1179","2","Standard","19.92",15
"1071","2","Standard","19.49",15
"754","2","Standard","18.38",15
"241","1","Basic","18.10",5
"24","2","Standard","17.96",15
"407","2","Standard","17.91",15
"1467","2","Standard","17.58",15
"547","1","Basic","17.54",5
"137","2","Standard","17.39",15
"1674","2","Standard","17.22",15
"1273","1","Basic","16.81",5
"1861","2","Standard","16.76",15
"1042","2","Standard","16.52",15
"249","1","Basic","16.41",5
"1316","2","Standard","16.32",15
"1420","1","Basic","16.31",5
"1980","1","Basic","16.15",5
"737","1","Basic","16.04",5
"1722","2","Standard","15.98",15
"1491","2","Standard","15.95",15
"640","1","Basic","15.88",5
"17","1","Basic","15.84",5
"409","1","Basic","15.80",5
"299","2","Standard","15.78",15
"857","2","Standard","15.72",15
"39","2","Standard","15.64",15
"1612","1","Basic","15.63",5
"1309","2","Standard","15.63",15
"157","2","Standard","15.62",15
"681","2","Standard","15.57",15
"1565","2","Standard","15.54",15
"350","1","Basic","15.52",5
"95","1","Basic","15.50",5
"1548","1","Basic","15.48",5
"1213","1","Basic","15.48",5
"1791","2","Standard","15.47",15
"748","2","Standard","15.44",15
"1036","2","Standard","15.43",15
"61","2","Standard","15.43",15
"1320","1","Basic","15.40",5
"1442","1","Basic","15.40",5
"622","1","Basic","15.36",5
"1077","1","Basic","15.33",5
"1800","1","Basic","15.31",5
"271","2","Standard","15.28",15
"1234","2","Standard","15.27",15
"1532","1","Basic","15.25",5
"584","1","Basic","15.22",5
"520","2","Standard","15.17",15
"803","1","Basic","15.13",5
"943","2","Standard","15.10",15
"1447","1","Basic","15.08",5
"940","2","Standard","15.04",15
"975","2","Standard","15.04",15
"1585","1","Basic","15.01",5
"82","1","Basic","15.01",5
"1177","2","Standard","14.99",15
"1052","1","Basic","14.92",5
"504","2","Standard","14.89",15
"1134","1","Basic","14.89",5
"1453","2","Standard","14.88",15
"1165","2","Standard","14.88",15
"1352","2","Standard","14.88",15
"829","2","Standard","14.85",15
"1835","1","Basic","14.85",5
"90","1","Basic","14.81",5
"430","1","Basic","14.77",5
"67","2","Standard","14.77",15
"1822","2","Standard","14.72",15
"1432","2","Standard","14.71",15
"313","1","Basic","14.71",5
"496","2","Standard","14.71",15
"969","1","Basic","14.69",5
"1469","2","Standard","14.61",15
"729","1","Basic","14.60",5
"661","1","Basic","14.60",5
"680","2","Standard","14.58",15
"219","2","Standard","14.54",15
"49","2","Standard","14.52",15
"1615","2","Standard","14.52",15
"897","1","Basic","14.51",5
"540","1","Basic","14.50",5
"1654","1","Basic","14.49",5
"1433","1","Basic","14.47",5
"1346","1","Basic","14.47",5
"453","2","Standard","14.39",15
"1712","2","Standard","14.37",15
"1962","2","Standard","14.36",15
"1751","2","Standard","14.36",15
"673","1","Basic","14.35",5
"679","2","Standard","14.35",15
"1384","2","Standard","14.34",15
"1596","1","Basic","14.33",5
"1261","2","Standard","14.32",15
"343","1","Basic","14.31",5
"876","2","Standard","14.30",15
"1271","2","Standard","14.29",15
"1305","1","Basic","14.29",5
"682","1","Basic","14.28",5
"1214","2","Standard","14.24",15
"1279","2","Standard","14.23",15
"1378","1","Basic","14.22",5
"602","1","Basic","14.19",5
"1995","2","Standard","14.19",15
"42","1","Basic","14.18",5
"215","1","Basic","14.18",5
"1235","2","Standard","14.18",15
"1591","1","Basic","14.18",5
"123","1","Basic","14.17",5
"731","2","Standard","14.09",15
"462","2","Standard","14.06",15
"186","1","Basic","14.05",5
"764","1","Basic","14.04",5
