"customer_id","plan_id","plan_name","avg_data_usage","data_quota"
"746","3","Premium","1.95",30
"895","3","Premium","2.60",30
"617","3","Premium","2.82",30
"1462","2","Standard","2.91",15
"1525","2","Standard","2.91",15
"1417","4","Unlimited","2.99",100
"720","4","Unlimited","3.25",100
"968","3","Premium","3.45",30
"489","2","Standard","3.47",15
"1646","2","Standard","3.55",15
"66","3","Premium","3.65",30
"1860","3","Premium","3.84",30
"772","2","Standard","3.84",15
"1026","4","Unlimited","4.07",100
"711","4","Unlimited","4.19",100
"778","3","Premium","4.42",30
"487","4","Unlimited","4.51",100
"258","4","Unlimited","5.40",100
"1542","3","Premium","5.46",30
"1819","3","Premium","5.46",30
"564","3","Premium","5.57",30
"349","4","Unlimited","5.67",100
"362","3","Premium","5.88",30
"9","3","Premium","5.93",30
"1534","3","Premium","5.94",30
"115","3","Premium","5.97",30
"529","3","Premium","6.00",30
"920","3","Premium","6.03",30
"98","3","Premium","6.06",30
"1201","3","Premium","6.12",30
"839","4","Unlimited","6.14",100
"382","4","Unlimited","6.14",100
"1808","4","Unlimited","6.14",100
"1958","3","Premium","6.21",30
"491","3","Premium","6.32",30
"683","3","Premium","6.35",30
"1218","3","Premium","6.41",30
"1435","3","Premium","6.59",30
"1973","3","Premium","6.60",30
"1032","4","Unlimited","6.65",100
"1154","4","Unlimited","6.75",100
"1946","3","Premium","6.82",30
"505","3","Premium","6.82",30
"1186","4","Unlimited","6.83",100
"632","4","Unlimited","6.87",100
"1803","3","Premium","6.87",30
"962","3","Premium","6.94",30
"47","4","Unlimited","6.98",100
"1143","3","Premium","7.01",30
"848","3","Premium","7.02",30
"1300","3","Premium","7.03",30
"232","3","Premium","7.07",30
"1144","3","Premium","7.10",30
"925","3","Premium","7.11",30
"1736","3","Premium","7.15",30
"1302","3","Premium","7.17",30
"1277","4","Unlimited","7.17",100
"315","3","Premium","7.17",30
"1215","4","Unlimited","7.20",100
"263","3","Premium","7.21",30
"209","4","Unlimited","7.24",100
"789","3","Premium","7.24",30
"1024","3","Premium","7.25",30
"439","3","Premium","7.27",30
"710","3","Premium","7.30",30
"1547","3","Premium","7.32",30
"212","3","Premium","7.34",30
"544","4","Unlimited","7.36",100
"665","3","Premium","7.45",30
"1711","3","Premium","7.45",30
"62","4","Unlimited","7.45",100
"1163","4","Unlimited","7.45",100
"408","4","Unlimited","7.54",100
"166","4","Unlimited","7.57",100
"1590","3","Premium","7.57",30
"811","3","Premium","7.64",30
"1801","3","Premium","7.71",30
"821","4","Unlimited","7.72",100
"493","4","Unlimited","7.81",100
"830","3","Premium","7.84",30
"1430","4","Unlimited","7.89",100
"1868","3","Premium","7.89",30
"1082","3","Premium","7.90",30
"951","3","Premium","7.94",30
"570","3","Premium","7.94",30
"893","3","Premium","7.96",30
"884","4","Unlimited","7.97",100
"1785","4","Unlimited","7.97",100
"1355","3","Premium","7.98",30
"692","4","Unlimited","7.98",100
"1613","3","Premium","7.99",30
"104","3","Premium","8.00",30
"1409","4","Unlimited","8.02",100
"208","3","Premium","8.10",30
"1296","4","Unlimited","8.12",100
"1455","4","Unlimited","8.12",100
"184","3","Premium","8.13",30
"1232","3","Premium","8.14",30
"167","3","Premium","8.15",30
"1322","3","Premium","8.15",30
"1906","3","Premium","8.17",30
"1707","3","Premium","8.30",30
"1586","3","Premium","8.32",30
"799","3","Premium","8.34",30
"891","4","Unlimited","8.38",100
"852","3","Premium","8.38",30
"1162","3","Premium","8.40",30
"708","4","Unlimited","8.41",100
"1116","4","Unlimited","8.41",100
"677","4","Unlimited","8.43",100
"1223","3","Premium","8.44",30
"1776","3","Premium","8.46",30
"298","3","Premium","8.46",30
"1387","3","Premium","8.47",30
"910","4","Unlimited","8.47",100
"955","3","Premium","8.47",30
"580","3","Premium","8.49",30
"1398","4","Unlimited","8.49",100
"944","3","Premium","8.49",30
"735","3","Premium","8.50",30
"1272","3","Premium","8.57",30
"1014","3","Premium","8.57",30
"745","3","Premium","8.58",30
"106","4","Unlimited","8.59",100
"1123","3","Premium","8.61",30
"80","3","Premium","8.64",30
"1106","4","Unlimited","8.64",100
"1205","3","Premium","8.65",30
"261","4","Unlimited","8.66",100
"1763","4","Unlimited","8.66",100
"1709","4","Unlimited","8.67",100
"1907","3","Premium","8.67",30
"912","3","Premium","8.68",30
"1574","3","Premium","8.68",30
"553","3","Premium","8.69",30
"36","3","Premium","8.70",30
"1905","4","Unlimited","8.70",100
"1445","3","Premium","8.72",30
"977","3","Premium","8.72",30
"1317","4","Unlimited","8.72",100
"324","4","Unlimited","8.73",100
