"data_segment","plan_name","avg_base_arpu","customers"
"Heavy User","Unlimited","189275","69"
"Heavy User","Premium","130480","125"
"Heavy User","Standard","84750","240"
"Heavy User","Basic","59634","232"
"Light User","Unlimited","186563","64"
"Light User","Premium","130349","129"
"Light User","Standard","85043","233"
"Light User","Basic","59627","241"
"Medium User","Unlimited","189114","79"
"Medium User","Premium","128468","124"
"Medium User","Standard","84641","223"
"Medium User","Basic","60809","241"
