"data_segment","plan_name","base_arpu","addon_arpu","total_arpu","top_addon","top_addon_users"
"Heavy User","Unlimited","189275.36","9275.36","198550.72","Extra Data 5GB","8"
"Heavy User","Premium","130480.00","10480.00","140960.00","Extra Data 10GB","13"
"Heavy User","Standard","84750.00","9750.00","94500.00","Extra Data 5GB","27"
"Heavy User","Basic","59633.62","9633.62","69267.24","Extra Data 10GB","22"
"Light User","Unlimited","186562.50","6562.50","193125.00","Extra Data 10GB","5"
"Light User","Premium","130348.84","10348.84","140697.67","Extra Data 10GB","16"
"Light User","Standard","85042.92","10042.92","95085.84","Streaming Pack","27"
"Light User","Basic","59626.56","9626.56","69253.11","Extra Data 10GB","24"
"Medium User","Unlimited","189113.92","9113.92","198227.85","Extra Data 5GB","8"
"Medium User","Premium","128467.74","8467.74","136935.48","Streaming Pack","15"
"Medium User","Standard","84641.26","9641.26","94282.51","Extra Data 5GB","28"
"Medium User","Basic","60809.13","10809.13","71618.26","Extra Data 5GB","26"
