"data_segment","plan_name","top_addon","addon_count"
"Heavy User","Basic","Extra Data 10GB","22"
"Heavy User","Basic","Streaming Pack","22"
"Heavy User","Premium","Extra Data 10GB","13"
"Heavy User","Standard","Extra Data 5GB","27"
"Heavy User","Unlimited","Extra Data 5GB","8"
"Light User","Basic","Extra Data 10GB","24"
"Light User","Premium","Extra Data 10GB","16"
"Light User","Standard","Streaming Pack","27"
"Light User","Unlimited","Extra Data 10GB","5"
"Light User","Unlimited","Extra Data 5GB","5"
"Medium User","Basic","Extra Data 5GB","26"
"Medium User","Premium","Streaming Pack","15"
"Medium User","Standard","Extra Data 5GB","28"
"Medium User","Unlimited","Extra Data 5GB","8"
