"data_segment","plan_name","total_customers","avg_usage_gb"
"Heavy User","Standard","240","13.30"
"Heavy User","Basic","232","13.08"
"Heavy User","Premium","125","13.24"
"Heavy User","Unlimited","69","13.15"
"Light User","Basic","241","7.79"
"Light User","Standard","233","7.72"
"Light User","Premium","129","7.75"
"Light User","Unlimited","64","7.75"
"Medium User","Basic","241","10.43"
"Medium User","Standard","223","10.35"
"Medium User","Premium","124","10.41"
"Medium User","Unlimited","79","10.36"
