customer_id,monthly_charge,payment_method,total_spend_last_12m
1,105000,Virtual Account,630000
2,75000,AutoPay,450000
3,50000,E-Wallet,600000
4,80000,Virtual Account,800000
5,150000,E-Wallet,1500000
6,90000,AutoPay,1080000
7,50000,Virtual Account,300000
8,75000,Virtual Account,900000
9,120000,E-Wallet,960000
10,50000,AutoPay,400000
11,75000,Credit Card,900000
12,50000,Credit Card,550000
13,50000,AutoPay,400000
14,90000,AutoPay,540000
15,120000,Credit Card,1200000
16,50000,AutoPay,600000
17,50000,Credit Card,550000
18,75000,AutoPay,675000
19,150000,Virtual Account,1050000
20,50000,Virtual Account,550000
21,100000,Credit Card,1200000
22,50000,Virtual Account,400000
23,75000,E-Wallet,750000
24,100000,E-Wallet,700000
25,75000,AutoPay,675000
26,50000,E-Wallet,450000
27,50000,Credit Card,450000
28,50000,AutoPay,400000
29,90000,E-Wallet,1080000
30,65000,Virtual Account,455000
31,120000,E-Wallet,1440000
32,180000,Credit Card,1620000
33,180000,E-Wallet,1620000
34,135000,AutoPay,1350000
35,75000,Credit Card,600000
36,135000,AutoPay,945000
37,50000,Credit Card,350000
38,75000,Virtual Account,525000
39,75000,Credit Card,750000
40,75000,AutoPay,900000
41,145000,AutoPay,1450000
42,50000,AutoPay,600000
43,50000,AutoPay,500000
44,180000,Virtual Account,1620000
45,50000,Credit Card,350000
46,75000,Credit Card,675000
47,195000,Virtual Account,1755000
48,100000,E-Wallet,1100000
49,75000,Virtual Account,450000
50,50000,AutoPay,600000
51,50000,Credit Card,550000
52,120000,Virtual Account,1320000
53,75000,Virtual Account,450000
54,75000,AutoPay,450000
55,50000,Credit Card,600000
56,50000,AutoPay,450000
57,220000,Virtual Account,2640000
58,75000,Virtual Account,750000
59,75000,Virtual Account,825000
60,50000,AutoPay,600000
61,75000,Credit Card,825000
62,180000,AutoPay,1080000
63,75000,E-Wallet,825000
64,50000,Virtual Account,350000
65,100000,AutoPay,700000
66,120000,AutoPay,1200000
67,75000,E-Wallet,600000
68,120000,Virtual Account,1440000
69,75000,E-Wallet,750000
70,135000,Credit Card,810000
71,75000,Credit Card,525000
72,80000,Credit Card,880000
73,75000,E-Wallet,600000
74,75000,AutoPay,450000
75,180000,Virtual Account,1260000
76,120000,Virtual Account,1080000
77,75000,E-Wallet,750000
78,50000,E-Wallet,550000
79,50000,E-Wallet,300000
80,120000,Credit Card,1200000
81,115000,Virtual Account,1380000
82,50000,AutoPay,550000
83,75000,Credit Card,825000
84,50000,Credit Card,400000
85,50000,AutoPay,500000
86,75000,AutoPay,600000
87,80000,AutoPay,640000
88,205000,Credit Card,2460000
89,90000,E-Wallet,900000
90,90000,Credit Card,900000
91,50000,AutoPay,350000
92,120000,Credit Card,1200000
93,75000,AutoPay,900000
94,90000,E-Wallet,1080000
95,50000,Virtual Account,550000
96,50000,Credit Card,600000
97,90000,E-Wallet,720000
98,120000,Virtual Account,720000
99,120000,Virtual Account,1440000
100,50000,Virtual Account,300000
101,75000,Credit Card,900000
102,180000,Virtual Account,2160000
103,100000,E-Wallet,1000000
104,135000,E-Wallet,1620000
105,75000,Credit Card,825000
106,180000,Virtual Account,1980000
107,120000,Credit Card,960000
108,180000,Virtual Account,1800000
109,105000,AutoPay,735000
110,100000,Virtual Account,1100000
111,180000,E-Wallet,1080000
112,50000,Virtual Account,550000
113,65000,Credit Card,650000
114,120000,Credit Card,1200000
115,150000,AutoPay,900000
116,180000,E-Wallet,1080000
