customer_id,age,region,segment,tenure_month,plan_id
1,56,Sumatera,Senior,35,2
2,69,Jawa Timur,Senior,46,2
3,46,Sumatera,Youth,40,1
4,32,Jawa Timur,Senior,28,1
5,60,Jawa Barat,Senior,1,3
6,25,Jawa Tengah,Senior,42,1
7,38,Jawa Timur,Adult,18,1
8,56,Kalimantan,Senior,40,2
9,36,Sulawesi,Youth,33,3
10,40,Jakarta,Adult,12,1
11,28,Kalimantan,Youth,8,2
12,28,Kalimantan,Senior,24,1
13,41,Sulawesi,Adult,16,1
14,53,Jakarta,Youth,4,1
15,57,Kalimantan,Senior,38,3
16,41,Jawa Timur,Youth,44,1
17,20,Jawa Timur,Youth,27,1
18,39,Jawa Timur,Youth,9,2
19,19,Jakarta,Senior,47,3
20,41,Kalimantan,Senior,16,1
21,61,Jakarta,Youth,12,2
22,47,Jawa Timur,Adult,31,1
23,55,Sulawesi,Adult,24,2
24,19,Kalimantan,Senior,14,2
25,38,Kalimantan,Senior,45,2
26,50,Sumatera,Senior,25,1
27,29,Sumatera,Senior,34,1
28,39,Jawa Barat,Senior,3,1
29,61,Jawa Tengah,Adult,24,2
30,42,Sumatera,Senior,42,1
31,66,Jakarta,Youth,9,3
32,44,Sumatera,Youth,26,4
33,59,Jawa Barat,Adult,20,4
34,45,Kalimantan,Youth,40,3
35,33,Jawa Barat,Adult,10,2
36,32,Kalimantan,Adult,19,3
37,64,Sulawesi,Youth,3,1
38,68,Sulawesi,Senior,24,2
39,61,Kalimantan,Youth,5,2
40,69,Jawa Tengah,Youth,3,2
41,20,Sumatera,Adult,27,3
42,54,Jakarta,Youth,16,1
43,68,Jakarta,Adult,15,1
44,24,Jawa Timur,Senior,35,4
45,38,Kalimantan,Senior,12,1
46,26,Jakarta,Senior,41,2
47,56,Jawa Tengah,Youth,44,4
48,35,Kalimantan,Adult,26,2
49,21,Jawa Tengah,Senior,47,2
50,42,Jakarta,Adult,34,1
51,31,Jakarta,Adult,23,1
52,67,Jawa Timur,Senior,31,3
53,26,Jakarta,Senior,20,2
54,43,Kalimantan,Adult,12,2
55,19,Sulawesi,Senior,23,1
56,37,Kalimantan,Adult,4,1
57,45,Kalimantan,Adult,23,4
58,64,Jawa Timur,Senior,1,2
59,24,Jawa Timur,Youth,25,2
60,61,Jakarta,Senior,2,1
61,25,Jawa Barat,Youth,30,2
62,64,Jawa Barat,Adult,3,4
63,52,Jawa Timur,Adult,21,2
64,31,Jakarta,Youth,25,1
65,34,Jawa Barat,Adult,20,2
66,53,Jakarta,Youth,22,3
67,67,Jakarta,Youth,21,2
68,57,Jakarta,Adult,33,3
